PAIS,AÑO,MES,PRODUCTO,CANTIDAD DE ENERGIA (GWh),CODIGO DE PRODUCTO,AÑO ACTUAL- MES ACTUA,AÑO ANTERIOR- MES ACTUAL,PARTICIPACION
Argentina,2019,January,Hydro,2.694.068.442,1,27.234.432.719,2.825.495.727,23.45%
Argentina,2019,January,Wind,285.611.188,2,494.689.734,557.481,2.49%
Argentina,2019,January,Solar,40.110.495,3,791.843.581,1.613.196,0.35%
Argentina,2019,January,Renewables,3.087.764.689,22,34.524.081.521,2.943.769.063,26.88%
Argentina,2019,January,Low carbon,3.289.248.237,26,42.493.550.044,3.588.460.997,28.64%
Argentina,2019,January,Fossil fuels,8.197.103.682,27,89.968.762.998,9.419.220.027,71.36%
Brazil,2019,January,Hydro,41.203.369.295,1,393.898.286.431,35.900.251.237,77.48%
Brazil,2019,January,Wind,4.233.899.952,2,5.542.576.578,3.435.555.524,7.96%
Brazil,2019,January,Solar,451.874.016,3,658.803.321,17.977.328,0.85%
Brazil,2019,January,Renewables,47.172.971.036,22,507.537.708.859,40.612.528.608,88.70%
Brazil,2019,January,Low carbon,48.498.279.104,26,52.269.880.342,41.930.128.908,91.19%
Brazil,2019,January,Fossil fuels,468.322.057,27,88.686.909.444,703.263.841,8.81%
Chile,2019,January,Hydro,2.233.129.531,1,22.027.318,2.021.666.943,32.11%
Chile,2019,January,Wind,327.336.219,2,4.889.955.963,284.424.697,4.71%
Chile,2019,January,Solar,583.651.661,3,6300.53,467.980.821,8.39%
Chile,2019,January,Renewables,3.555.195.903,22,38.612.830.575,3.362.506.495,51.13%
Chile,2019,January,Low carbon,3.555.195.903,26,38.612.830.575,3.362.506.495,51.13%
Chile,2019,January,Fossil fuels,3.398.723.594,27,43.487.346.384,3.666.587.074,48.87%
Colombia,2019,January,Hydro,3.920.370.278,1,5.297.754.577,4.638.020.035,61.21%
Colombia,2019,January,Wind,6.363.735,2,61.626.002,149.979,0.10%
Colombia,2019,January,Solar,4.123.789,3,133.311.999,2.141.028,0.06%
Colombia,2019,January,Renewables,4.058.010.216,22,54.698.270.145,4.759.940.263,63.36%
Colombia,2019,January,Low carbon,4.058.010.216,26,54.698.270.145,4.759.940.263,63.36%
Colombia,2019,January,Fossil fuels,2.346.741.954,27,23.380.433.628,1.496.416.361,36.64%
Mexico,2019,January,Hydro,1.548.233.543,1,23.536.999.999,1.687.106.022,6.06%
Mexico,2019,January,Wind,16.594.832,2,16.777.999.999,1.400.412.144,6.49%
Mexico,2019,January,Solar,344.624.888,3,6972,29.399.443,1.35%
Mexico,2019,January,Renewables,438.343.478,22,54.356.199.525,3.936.598.242,17.15%
Mexico,2019,January,Low carbon,6.324.949.653,26,78.091.199.529,6.080.203.771,24.75%
Mexico,2019,January,Fossil fuels,20.302.468.522,27,26.545.285.748,20.588.783.718,79.44%
Argentina,2019,February,Hydro,1.982.713.262,1,27.234.432.719,5.267.536.142,18.11%
Argentina,2019,February,Wind,230.662.481,2,494.689.734,101.166.975,2.11%
Argentina,2019,February,Solar,43.447.881,3,791.843.581,3.024.226,0.40%
Argentina,2019,February,Renewables,2.338.801.407,22,34.524.081.521,5.498.208.866,21.36%
Argentina,2019,February,Low carbon,2.640.910.726,26,42.493.550.044,6.720.393.895,24.12%
Argentina,2019,February,Fossil fuels,8.306.177.854,27,89.968.762.998,18.221.860.593,75.88%
Brazil,2019,February,Hydro,35.875.511.128,1,393.898.286.431,69.983.891.082,74.11%
Brazil,2019,February,Wind,2.266.073.535,2,5.542.576.578,5.560.810.931,4.68%
Brazil,2019,February,Solar,439.587.412,3,658.803.321,343.003.006,0.91%
Brazil,2019,February,Renewables,39.897.095.542,22,507.537.708.859,78.030.530.405,82.42%
Brazil,2019,February,Low carbon,41.146.904.921,26,52.269.880.342,8.012.041.085,85.00%
Brazil,2019,February,Fossil fuels,7.262.762.689,27,88.686.909.444,13.067.404.269,15.00%
Chile,2019,February,Hydro,1.690.317.509,1,22.027.318,4.362.941.874,26.48%
Chile,2019,February,Wind,252.329.006,2,4.889.955.963,41.788.952,3.95%
Chile,2019,February,Solar,504.673.827,3,6300.53,886.306.955,7.90%
Chile,2019,February,Renewables,2.875.505.897,22,38.612.830.575,6.540.433.641,45.04%
Chile,2019,February,Low carbon,2.875.505.897,26,38.612.830.575,6.540.433.641,45.04%
Chile,2019,February,Fossil fuels,3.508.921.919,27,43.487.346.384,6.488.909.545,54.96%
Colombia,2019,February,Hydro,3.617.088.135,1,5.297.754.577,8.529.036.783,60.18%
Colombia,2019,February,Wind,669.302,2,61.626.002,3.831.888,0.11%
Colombia,2019,February,Solar,6.229.346,3,133.311.999,4.181.917,0.10%
Colombia,2019,February,Renewables,3.757.160.025,22,54.698.270.145,8.773.617.689,62.51%
Colombia,2019,February,Low carbon,3.757.160.025,26,54.698.270.145,8.773.617.689,62.51%
Colombia,2019,February,Fossil fuels,2.253.378.037,27,23.380.433.628,33.559.977,37.49%
Mexico,2019,February,Hydro,1.683.537.237,1,23.536.999.999,3.564.975.854,6.93%
Mexico,2019,February,Wind,1.085.277.044,2,16.777.999.999,2.413.133.061,4.47%
Mexico,2019,February,Solar,37.706.505,3,6972,69.719.214,1.55%
Mexico,2019,February,Renewables,394.350.686,22,54.356.199.525,7.600.913.615,16.24%
Mexico,2019,February,Low carbon,5.467.087.903,26,78.091.199.529,11.770.090.579,22.52%
Mexico,2019,February,Fossil fuels,19.880.256.717,27,26.545.285.748,40.028.565.196,81.89%
Argentina,2019,March,Hydro,2.154.482.732,1,27.234.432.719,7.627.868,21.21%
Argentina,2019,March,Wind,305.678.708,2,494.689.734,151.028.779,3.01%
Argentina,2019,March,Solar,50.349.268,3,791.843.581,5.028.998,0.50%
Argentina,2019,March,Renewables,2.613.429.552,22,34.524.081.521,7.964.206.897,25.73%
Argentina,2019,March,Low carbon,3.143.641.694,26,42.493.550.044,9.696.278.293,30.95%
Argentina,2019,March,Fossil fuels,7.014.061.182,27,89.968.762.998,26.932.527.409,69.05%
Brazil,2019,March,Hydro,38.360.946.357,1,393.898.286.431,108.685.087.096,75.24%
Brazil,2019,March,Wind,2.577.419.343,2,5.542.576.578,7.843.302.352,5.06%
Brazil,2019,March,Solar,488.733.831,3,658.803.321,547.040.164,0.96%
Brazil,2019,March,Renewables,43.631.566.957,22,507.537.708.859,120.932.654.059,85.58%
Brazil,2019,March,Low carbon,44.829.343.456,26,52.269.880.342,123.828.704.602,87.93%
Brazil,2019,March,Fossil fuels,6.155.433.492,27,88.686.909.444,2.010.466.541,12.07%
Chile,2019,March,Hydro,1.544.416.264,1,22.027.318,6.515.845.913,21.83%
Chile,2019,March,Wind,331.943.926,2,4.889.955.963,609.867.651,4.69%
Chile,2019,March,Solar,551.362.217,3,6300.53,1.355.732.875,7.79%
Chile,2019,March,Renewables,2.935.407.334,22,38.612.830.575,9.623.956.233,41.49%
Chile,2019,March,Low carbon,2.935.407.334,26,38.612.830.575,9.623.956.233,41.49%
Chile,2019,March,Fossil fuels,4.139.367.845,27,43.487.346.384,9.496.069.953,58.51%
Colombia,2019,March,Hydro,4.172.093.173,1,5.297.754.577,13.011.167.936,64.22%
Colombia,2019,March,Wind,6.331.609,2,61.626.002,6.877.912,0.10%
Colombia,2019,March,Solar,11.985.129,3,133.311.999,6.433.049,0.18%
Colombia,2019,March,Renewables,4.317.560.197,22,54.698.270.145,13.379.342.899,66.46%
Colombia,2019,March,Low carbon,4.317.560.197,26,54.698.270.145,13.379.342.899,66.46%
Colombia,2019,March,Fossil fuels,2.179.406.459,27,23.380.433.628,5.213.519.658,33.54%
Mexico,2019,March,Hydro,1.828.517.611,1,23.536.999.999,5.924.467.349,6.72%
Mexico,2019,March,Wind,1.723.640.997,2,16.777.999.999,3.455.346.409,6.33%
Mexico,2019,March,Solar,479.328.388,3,6972,137.461.418,1.76%
Mexico,2019,March,Renewables,4.895.922.193,22,54.356.199.525,11.841.687.495,17.99%
Mexico,2019,March,Low carbon,6.957.644.331,26,78.091.199.529,18.108.981.464,25.56%
Mexico,2019,March,Fossil fuels,21.329.469.196,27,26.545.285.748,62.178.403.939,78.37%
Argentina,2019,April,Hydro,1.939.123.607,1,27.234.432.719,9.895.770.126,19.69%
Argentina,2019,April,Wind,327.347.761,2,494.689.734,209.765.927,3.32%
Argentina,2019,April,Solar,499.768,3,791.843.581,6.733.799,0.51%
Argentina,2019,April,Renewables,2.414.011.296,22,34.524.081.521,10.349.522.438,24.51%
Argentina,2019,April,Low carbon,3.057.512.992,26,42.493.550.044,12.662.195.888,31.05%
Argentina,2019,April,Fossil fuels,6.789.691.898,27,89.968.762.998,35.346.613.515,68.95%
Brazil,2019,April,Hydro,36.733.690.879,1,393.898.286.431,143.167.113.057,73.84%
Brazil,2019,April,Wind,2.615.707.824,2,5.542.576.578,10.495.760.865,5.26%
Brazil,2019,April,Solar,469.621.334,3,658.803.321,751.077.322,0.94%
Brazil,2019,April,Renewables,43.545.499.073,22,507.537.708.859,162.631.219.374,87.53%
Brazil,2019,April,Low carbon,44.541.265.566,26,52.269.880.342,166.867.463.519,89.53%
Brazil,2019,April,Fossil fuels,5.207.574.529,27,88.686.909.444,25.296.813.041,10.47%
Chile,2019,April,Hydro,134.813.367,1,22.027.318,7.911.393.031,20.41%
Chile,2019,April,Wind,279.481.101,2,4.889.955.963,846.045.918,4.23%
Chile,2019,April,Solar,438.364.069,3,6300.53,1.731.320.048,6.64%
Chile,2019,April,Renewables,2.620.379.842,22,38.612.830.575,12.233.657.981,39.67%
Chile,2019,April,Low carbon,2.620.379.842,26,38.612.830.575,12.233.657.981,39.67%
Chile,2019,April,Fossil fuels,398.466.124,27,43.487.346.384,13.495.415.934,60.33%
Colombia,2019,April,Hydro,4.478.675.866,1,5.297.754.577,17.916.637.119,70.24%
Colombia,2019,April,Wind,6.833.387,2,61.626.002,9.590.256,0.11%
Colombia,2019,April,Solar,12.693.369,3,133.311.999,8.258.384,0.20%
Colombia,2019,April,Renewables,4.625.348.609,22,54.698.270.145,1.840.760.699,72.54%
Colombia,2019,April,Low carbon,4.625.348.609,26,54.698.270.145,1.840.760.699,72.54%
Colombia,2019,April,Fossil fuels,1.751.305.611,27,23.380.433.628,6.525.671.672,27.46%
Mexico,2019,April,Hydro,232.906.181,1,23.536.999.999,8.514.035.636,8.51%
Mexico,2019,April,Wind,1.459.009.539,2,16.777.999.999,448.135.795,5.33%
Mexico,2019,April,Solar,534.690.037,3,6972,221.637.125,1.95%
Mexico,2019,April,Renewables,5.115.714.072,22,54.356.199.525,16.244.813.283,18.70%
Mexico,2019,April,Low carbon,7.027.850.655,26,78.091.199.529,2.455.645.317,25.68%
Mexico,2019,April,Fossil fuels,21.405.956.452,27,26.545.285.748,84.620.213.403,78.23%
Argentina,2019,May,Hydro,2.171.999.932,1,27.234.432.719,12.138.588.075,20.67%
Argentina,2019,May,Wind,328.136.967,2,494.689.734,272.092.949,3.12%
Argentina,2019,May,Solar,41.778.899,3,791.843.581,7.983.929,0.40%
Argentina,2019,May,Renewables,266.173.153,22,34.524.081.521,12.760.130.548,25.33%
Argentina,2019,May,Low carbon,3.502.918.442,26,42.493.550.044,15.832.464.108,33.34%
Argentina,2019,May,Fossil fuels,7.005.236.089,27,89.968.762.998,43.253.639.356,66.66%
Brazil,2019,May,Hydro,35.699.595.064,1,393.898.286.431,174.786.113.252,69.95%
Brazil,2019,May,Wind,3.881.242.888,2,5.542.576.578,14.167.684.254,7.61%
Brazil,2019,May,Solar,487.368.652,3,658.803.321,1.013.568.368,0.96%
Brazil,2019,May,Renewables,45.593.733.769,22,507.537.708.859,203.738.308.577,89.34%
Brazil,2019,May,Low carbon,46.315.052.325,26,52.269.880.342,209.381.499.262,90.76%
Brazil,2019,May,Fossil fuels,4.717.197.052,27,88.686.909.444,31.162.430.865,9.24%
Chile,2019,May,Hydro,1.508.122.667,1,22.027.318,9.252.753.535,21.61%
Chile,2019,May,Wind,34.633.898,2,4.889.955.963,1.100.027.826,4.96%
Chile,2019,May,Solar,370.745.746,3,6300.53,2.063.487.206,5.31%
Chile,2019,May,Renewables,2.787.143.585,22,38.612.830.575,14.810.682.115,39.94%
Chile,2019,May,Low carbon,2.787.143.585,26,38.612.830.575,14.810.682.115,39.94%
Chile,2019,May,Fossil fuels,4.191.480.146,27,43.487.346.384,17.986.969.855,60.06%
Colombia,2019,May,Hydro,481.028.519,1,5.297.754.577,22.962.710.923,72.40%
Colombia,2019,May,Wind,6.181.242,2,61.626.002,12.469.692,0.09%
Colombia,2019,May,Solar,1.042.215,3,133.311.999,10.025.153,0.16%
Colombia,2019,May,Renewables,4.954.030.323,22,54.698.270.145,23.576.482.518,74.56%
Colombia,2019,May,Low carbon,4.954.030.323,26,54.698.270.145,23.576.482.518,74.56%
Colombia,2019,May,Fossil fuels,1.690.310.701,27,23.380.433.628,7.906.717.246,25.44%
Mexico,2019,May,Hydro,2.831.461.796,1,23.536.999.999,12.571.191.554,9.24%
Mexico,2019,May,Wind,123.731.343,2,16.777.999.999,5.233.543.532,4.04%
Mexico,2019,May,Solar,648.002.497,3,6972,329.119.094,2.11%
Mexico,2019,May,Renewables,5.502.828.472,22,54.356.199.525,21.813.735.176,17.96%
Mexico,2019,May,Low carbon,7.145.204.103,26,78.091.199.529,32.255.986.754,23.32%
Mexico,2019,May,Fossil fuels,24.566.889.265,27,26.545.285.748,108.735.117.055,80.18%
Argentina,2019,June,Hydro,2.082.311.719,1,27.234.432.719,1.481.062.865,19.14%
Argentina,2019,June,Wind,405.994.239,2,494.689.734,362.276.704,3.73%
Argentina,2019,June,Solar,40.475.434,3,791.843.581,9.253.974,0.37%
Argentina,2019,June,Renewables,2.684.699.832,22,34.524.081.521,15.670.554.935,24.68%
Argentina,2019,June,Low carbon,3.430.785.102,26,42.493.550.044,19.491.356.476,31.54%
Argentina,2019,June,Fossil fuels,7.447.175.124,27,89.968.762.998,5.231.015.084,68.46%
Brazil,2019,June,Hydro,30.683.089.637,1,393.898.286.431,202.263.847.422,64.72%
Brazil,2019,June,Wind,5.187.081.617,2,5.542.576.578,18.472.662.445,10.94%
Brazil,2019,June,Solar,492.829.365,3,658.803.321,1.280.471.029,1.04%
Brazil,2019,June,Renewables,41.959.476.161,22,507.537.708.859,241.976.659.614,88.50%
Brazil,2019,June,Low carbon,43.294.986.755,26,52.269.880.342,248.985.718.108,91.32%
Brazil,2019,June,Fossil fuels,4.114.568.471,27,88.686.909.444,39.353.184.242,8.68%
Chile,2019,June,Hydro,174.661.919,1,22.027.318,10.702.777.013,25.03%
Chile,2019,June,Wind,447.104.698,2,4.889.955.963,1.451.707.531,6.41%
Chile,2019,June,Solar,345.934.635,3,6300.53,2.357.763.023,4.96%
Chile,2019,June,Renewables,3.029.418.706,22,38.612.830.575,17.450.283.084,43.41%
Chile,2019,June,Low carbon,3.029.418.706,26,38.612.830.575,17.450.283.084,43.41%
Chile,2019,June,Fossil fuels,3.949.857.402,27,43.487.346.384,22.416.872.257,56.59%
Colombia,2019,June,Hydro,4.901.975.867,1,5.297.754.577,2.792.659.038,75.89%
Colombia,2019,June,Wind,6.430.414,2,61.626.002,16.189.794,0.10%
Colombia,2019,June,Solar,11.972.251,3,133.311.999,11.730.899,0.19%
Colombia,2019,June,Renewables,5.047.526.757,22,54.698.270.145,286.640.432,78.15%
Colombia,2019,June,Low carbon,5.047.526.757,26,54.698.270.145,286.640.432,78.15%
Colombia,2019,June,Fossil fuels,1.411.420.523,27,23.380.433.628,9.241.168.205,21.85%
Mexico,2019,June,Hydro,2.593.288.318,1,23.536.999.999,16.622.446.009,8.43%
Mexico,2019,June,Wind,1.125.659.311,2,16.777.999.999,5.817.734.383,3.66%
Mexico,2019,June,Solar,752.298.831,3,6972,431.437.139,2.45%
Mexico,2019,June,Renewables,5.012.025.133,22,54.356.199.525,27.053.661.336,16.29%
Mexico,2019,June,Low carbon,6.950.078.342,26,78.091.199.529,39.409.099.749,22.59%
Mexico,2019,June,Fossil fuels,2.488.474.186,27,26.545.285.748,133.479.643.831,80.89%
Argentina,2019,July,Hydro,2.330.742.243,1,27.234.432.719,17.866.080.749,19.37%
Argentina,2019,July,Wind,4.172.914,2,494.689.734,453.083.381,3.47%
Argentina,2019,July,Solar,53.570.607,3,791.843.581,12.431.211,0.45%
Argentina,2019,July,Renewables,2.961.076.306,22,34.524.081.521,18.971.335.955,24.61%
Argentina,2019,July,Low carbon,3.701.671.343,26,42.493.550.044,23.505.268.233,30.77%
Argentina,2019,July,Fossil fuels,8.329.277.287,27,89.968.762.998,61.705.218.036,69.23%
Brazil,2019,July,Hydro,28.529.792.404,1,393.898.286.431,229.408.037.549,57.83%
Brazil,2019,July,Wind,5.187.081.617,2,5.542.576.578,23.467.218.188,10.51%
Brazil,2019,July,Solar,536.515.071,3,658.803.321,1.627.885.649,1.09%
Brazil,2019,July,Renewables,40.101.562.448,22,507.537.708.859,281.307.964.164,81.28%
Brazil,2019,July,Low carbon,41.503.389.458,26,52.269.880.342,289.732.184.944,84.12%
Brazil,2019,July,Fossil fuels,7.833.286.005,27,88.686.909.444,48.813.067.832,15.88%
Chile,2019,July,Hydro,1.719.717.008,1,22.027.318,12.605.316.949,23.79%
Chile,2019,July,Wind,474.904.949,2,4.889.955.963,1.809.877.503,6.57%
Chile,2019,July,Solar,39.624.928,3,6300.53,2.668.013.481,5.48%
Chile,2019,July,Renewables,3.044.435.913,22,38.612.830.575,20.556.463.235,42.11%
Chile,2019,July,Low carbon,3.044.435.913,26,38.612.830.575,20.556.463.235,42.11%
Chile,2019,July,Fossil fuels,4.185.322.392,27,43.487.346.384,26.431.918.564,57.89%
Colombia,2019,July,Hydro,5.101.313.525,1,5.297.754.577,33.136.334.959,75.89%
Colombia,2019,July,Wind,635.671,2,61.626.002,21.881.257,0.09%
Colombia,2019,July,Solar,12.701.994,3,133.311.999,13.202.071,0.19%
Colombia,2019,July,Renewables,5.247.523.618,22,54.698.270.145,3.399.926.883,78.06%
Colombia,2019,July,Low carbon,5.247.523.618,26,54.698.270.145,3.399.926.883,78.06%
Colombia,2019,July,Fossil fuels,1.474.517.464,27,23.380.433.628,10.556.979.798,21.94%
Mexico,2019,July,Hydro,2.396.394.893,1,23.536.999.999,19.893.081.344,7.99%
Mexico,2019,July,Wind,1.609.154.362,2,16.777.999.999,7.154.409.134,5.36%
Mexico,2019,July,Solar,702.687.519,3,6972,570.950.406,2.34%
Mexico,2019,July,Renewables,5.151.976.839,22,54.356.199.525,32.263.526.854,17.17%
Mexico,2019,July,Low carbon,722.025.823,26,78.091.199.529,46.742.676.503,24.06%
Mexico,2019,July,Fossil fuels,23.854.130.701,27,26.545.285.748,15.917.127.137,79.51%
Argentina,2019,August,Hydro,2.571.468.006,1,27.234.432.719,20.632.271.771,22.43%
Argentina,2019,August,Wind,443.589.716,2,494.689.734,58.888.368,3.87%
Argentina,2019,August,Solar,66.381.351,3,791.843.581,19.682.232,0.58%
Argentina,2019,August,Renewables,3.240.536.319,22,34.524.081.521,22.036.035.987,28.27%
Argentina,2019,August,Low carbon,4.110.895.361,26,42.493.550.044,27.241.141.907,35.87%
Argentina,2019,August,Fossil fuels,7.351.113.656,27,89.968.762.998,70.174.790.144,64.13%
Brazil,2019,August,Hydro,26.358.472.621,1,393.898.286.431,25.622.752.876,52.21%
Brazil,2019,August,Wind,6.484.859.613,2,5.542.576.578,2.878.446.745,12.85%
Brazil,2019,August,Solar,604.773.986,3,658.803.321,2.033.754.158,1.20%
Brazil,2019,August,Renewables,39.718.591.343,22,507.537.708.859,320.256.332.959,78.68%
Brazil,2019,August,Low carbon,41.130.620.878,26,52.269.880.342,330.107.012.677,81.48%
Brazil,2019,August,Fossil fuels,9.350.645.356,27,88.686.909.444,58.466.404.483,18.52%
Chile,2019,August,Hydro,2.099.453.846,1,22.027.318,14.012.522.949,29.85%
Chile,2019,August,Wind,517.970.436,2,4.889.955.963,2.131.413.868,7.36%
Chile,2019,August,Solar,499.152.498,3,6300.53,3.047.268.379,7.10%
Chile,2019,August,Renewables,35.577.507,22,38.612.830.575,23.226.058.126,50.59%
Chile,2019,August,Low carbon,35.577.507,26,38.612.830.575,23.226.058.126,50.59%
Chile,2019,August,Fossil fuels,3.475.318.356,27,43.487.346.384,30.902.404.729,49.41%
Colombia,2019,August,Hydro,4.993.664.133,1,5.297.754.577,38.325.480.062,73.59%
Colombia,2019,August,Wind,3.786.017,2,61.626.002,27.471.229,0.06%
Colombia,2019,August,Solar,13.185.536,3,133.311.999,13.819.195,0.19%
Colombia,2019,August,Renewables,5.137.786.802,22,54.698.270.145,39.312.940.681,75.72%
Colombia,2019,August,Low carbon,5.137.786.802,26,54.698.270.145,39.312.940.681,75.72%
Colombia,2019,August,Fossil fuels,1.647.885.971,27,23.380.433.628,11.975.181.613,24.28%
Mexico,2019,August,Hydro,2.293.986.614,1,23.536.999.999,22.614.378.731,7.52%
Mexico,2019,August,Wind,12.113.903,2,16.777.999.999,8.328.160.577,3.97%
Mexico,2019,August,Solar,676.258.034,3,6972,712.764.987,2.22%
Mexico,2019,August,Renewables,4.612.589.297,22,54.356.199.525,36.752.070.451,15.11%
Mexico,2019,August,Low carbon,6.700.090.216,26,78.091.199.529,53.352.540.389,21.95%
Mexico,2019,August,Fossil fuels,24.893.540.409,27,26.545.285.748,185.754.713.258,81.56%
Argentina,2019,September,Hydro,2.301.237.043,1,27.234.432.719,22.888.715.058,20.99%
Argentina,2019,September,Wind,524.674.502,2,494.689.734,735.848.111,4.78%
Argentina,2019,September,Solar,84.756.727,3,791.843.581,30.669.182,0.77%
Argentina,2019,September,Renewables,307.478.899,22,34.524.081.521,24.592.935.101,28.04%
Argentina,2019,September,Low carbon,3.953.337.505,26,42.493.550.044,30.112.979.324,36.05%
Argentina,2019,September,Fossil fuels,7.012.096.586,27,89.968.762.998,77.845.544.041,63.95%
Brazil,2019,September,Hydro,27.379.135.728,1,393.898.286.431,282.210.934.357,53.32%
Brazil,2019,September,Wind,6.484.859.613,2,5.542.576.578,34.259.980.412,12.63%
Brazil,2019,September,Solar,604.773.986,3,658.803.321,2.455.063.317,1.18%
Brazil,2019,September,Renewables,40.730.808.215,22,507.537.708.859,358.088.705.174,79.33%
Brazil,2019,September,Low carbon,4.214.283.775,26,52.269.880.342,369.312.441.479,82.08%
Brazil,2019,September,Fossil fuels,9.202.329.363,27,88.686.909.444,68.550.222.097,17.92%
Chile,2019,September,Hydro,1.906.495.802,1,22.027.318,15.467.206.092,29.27%
Chile,2019,September,Wind,380.677.106,2,4.889.955.963,2.492.302.944,5.84%
Chile,2019,September,Solar,559.385.236,3,6300.53,3.499.725.772,8.59%
Chile,2019,September,Renewables,3.252.325.522,22,38.612.830.575,26.012.521.529,49.93%
Chile,2019,September,Low carbon,3.252.325.522,26,38.612.830.575,26.012.521.529,49.93%
Chile,2019,September,Fossil fuels,3.261.374.817,27,43.487.346.384,34.558.222.665,50.07%
Colombia,2019,September,Hydro,4.487.746.576,1,5.297.754.577,4.326.219.912,68.10%
Colombia,2019,September,Wind,2.416.531,2,61.626.002,31.140.477,0.04%
Colombia,2019,September,Solar,12.499.193,3,133.311.999,14.348.046,0.19%
Colombia,2019,September,Renewables,4.629.812.848,22,54.698.270.145,44.372.149.563,70.25%
Colombia,2019,September,Low carbon,4.629.812.848,26,54.698.270.145,44.372.149.563,70.25%
Colombia,2019,September,Fossil fuels,1.960.489.915,27,23.380.433.628,134.447.954,29.75%
Mexico,2019,September,Hydro,1.730.374.031,1,23.536.999.999,25.457.398.825,6.24%
Mexico,2019,September,Wind,1.194.971.147,2,16.777.999.999,909.751.493,4.31%
Mexico,2019,September,Solar,630.338.697,3,6972,835.258.509,2.27%
Mexico,2019,September,Renewables,3.957.262.268,22,54.356.199.525,40.925.750.402,14.27%
Mexico,2019,September,Low carbon,6.111.199.707,26,78.091.199.529,59.600.629.642,22.03%
Mexico,2019,September,Fossil fuels,22.696.207.771,27,26.545.285.748,210.015.345.306,81.83%
Argentina,2019,October,Hydro,2.186.803.621,1,27.234.432.719,25.583.740.254,19.41%
Argentina,2019,October,Wind,516.532.679,2,494.689.734,92.244.785,4.59%
Argentina,2019,October,Solar,95.512.148,3,791.843.581,44.892.133,0.85%
Argentina,2019,October,Renewables,2.959.325.686,22,34.524.081.521,27.612.227.472,26.27%
Argentina,2019,October,Low carbon,3.675.522.518,26,42.493.550.044,33.531.810.233,32.63%
Argentina,2019,October,Fossil fuels,7.588.471.343,27,89.968.762.998,84.599.160.194,67.37%
Brazil,2019,October,Hydro,3.007.864.671,1,393.898.286.431,313.242.827.984,55.39%
Brazil,2019,October,Wind,6.116.081.083,2,5.542.576.578,39.075.718.727,11.26%
Brazil,2019,October,Solar,686.684.684,3,658.803.321,2.771.596.638,1.26%
Brazil,2019,October,Renewables,42.792.087.974,22,507.537.708.859,39.953.437.582,78.80%
Brazil,2019,October,Low carbon,44.159.226.397,26,52.269.880.342,412.090.089.981,81.31%
Brazil,2019,October,Fossil fuels,10.148.625.414,27,88.686.909.444,76.611.768.586,18.69%
Chile,2019,October,Hydro,2.128.232.279,1,22.027.318,18.004.109.476,31.93%
Chile,2019,October,Wind,534.921.977,2,4.889.955.963,287.273.297,8.03%
Chile,2019,October,Solar,649.446.495,3,6300.53,4.010.715.096,9.74%
Chile,2019,October,Renewables,3.704.095.309,22,38.612.830.575,29.884.377.339,55.57%
Chile,2019,October,Low carbon,3.704.095.309,26,38.612.830.575,29.884.377.339,55.57%
Chile,2019,October,Fossil fuels,2.961.170.198,27,43.487.346.384,37.262.525.345,44.43%
Colombia,2019,October,Hydro,434.371.446,1,5.297.754.577,48.393.589.838,64.82%
Colombia,2019,October,Wind,2.272.432,2,61.626.002,32.990.144,0.03%
Colombia,2019,October,Solar,12.249.321,3,133.311.999,15.184.427,0.18%
Colombia,2019,October,Renewables,4.485.388.329,22,54.698.270.145,49.624.542.923,66.93%
Colombia,2019,October,Low carbon,4.485.388.329,26,54.698.270.145,49.624.542.923,66.93%
Colombia,2019,October,Fossil fuels,221.575.541,27,23.380.433.628,14.902.701.558,33.07%
Mexico,2019,October,Hydro,1.521.760.744,1,23.536.999.999,28.608.499.411,5.54%
Mexico,2019,October,Wind,1.128.863.761,2,16.777.999.999,10.223.411.894,4.11%
Mexico,2019,October,Solar,671.787.831,3,6972,974.372.632,2.45%
Mexico,2019,October,Renewables,3.722.951.206,22,54.356.199.525,45.790.082,13.55%
Mexico,2019,October,Low carbon,5.846.038.719,26,78.091.199.529,66.591.820.052,21.28%
Mexico,2019,October,Fossil fuels,22.699.158.176,27,26.545.285.748,232.704.720.964,82.62%
Argentina,2019,November,Hydro,2.438.179.873,1,27.234.432.719,28.676.381.991,21.82%
Argentina,2019,November,Wind,562.983.927,2,494.689.734,1.145.627.136,5.04%
Argentina,2019,November,Solar,108.153.848,3,791.843.581,68.723.639,0.97%
Argentina,2019,November,Renewables,3.255.184.514,22,34.524.081.521,3.107.041.433,29.13%
Argentina,2019,November,Low carbon,4.020.417.639,26,42.493.550.044,37.370.058.037,35.98%
Argentina,2019,November,Fossil fuels,71.541.027,27,89.968.762.998,90.766.779.799,64.02%
Brazil,2019,November,Hydro,30.049.381.556,1,393.898.286.431,346.395.156.066,57.62%
Brazil,2019,November,Wind,5.243.506.747,2,5.542.576.578,44.295.337.784,10.05%
Brazil,2019,November,Solar,651.190.048,3,658.803.321,3.069.380.598,1.25%
Brazil,2019,November,Renewables,40.716.201.323,22,507.537.708.859,442.277.750.344,78.07%
Brazil,2019,November,Low carbon,42.075.177.725,26,52.269.880.342,455.762.870.796,80.67%
Brazil,2019,November,Fossil fuels,10.079.960.264,27,88.686.909.444,80.642.101.908,19.33%
Chile,2019,November,Hydro,2.149.295.959,1,22.027.318,20.671.765.276,32.11%
